City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,5.83,70,clear sky,8.03,GL,1667408285
1,avarua,-21.2078,-159.775,73.45,78,broken clouds,11.5,CK,1667408285
2,butaritari,3.0707,172.7902,80.19,71,overcast clouds,12.26,KI,1667408286
3,busselton,-33.65,115.3333,56.16,85,overcast clouds,11.36,AU,1667408286
4,sambava,-14.2667,50.1667,72.93,83,clear sky,6.6,MG,1667408286
5,provideniya,64.3833,-173.3,19.81,80,overcast clouds,10.85,RU,1667408045
6,amahai,-3.3333,128.9167,79.34,85,overcast clouds,3.15,ID,1667408287
7,georgetown,5.4112,100.3354,78.73,92,moderate rain,5.75,MY,1667407800
8,zapolyarnyy,69.4154,30.8136,33.08,90,broken clouds,14.0,RU,1667408287
9,rikitea,-23.1203,-134.9692,68.94,70,overcast clouds,19.46,PF,1667408288
10,bengkulu,-3.8004,102.2655,76.44,86,moderate rain,3.8,ID,1667408289
11,hobart,-42.8794,147.3294,44.46,75,broken clouds,10.36,AU,1667408039
12,ushuaia,-54.8,-68.3,56.82,62,scattered clouds,6.91,AR,1667408242
13,acapulco,16.8634,-99.8901,83.14,70,clear sky,3.13,MX,1667408112
14,skagen,57.7209,10.5839,52.92,80,scattered clouds,20.94,DK,1667408290
15,new norfolk,-42.7826,147.0587,44.1,67,broken clouds,3.0,AU,1667408291
16,thompson,55.7435,-97.8558,21.36,93,light snow,9.22,CA,1667408291
17,utiel,39.5667,-1.2,60.66,80,broken clouds,8.19,ES,1667408292
18,arraial do cabo,-22.9661,-42.0278,71.46,68,overcast clouds,9.22,BR,1667408292
19,vilhena,-12.7406,-60.1458,71.82,43,clear sky,13.8,BR,1667408293
20,vardo,70.3705,31.1107,37.38,93,overcast clouds,18.41,NO,1667408293
21,saint-philippe,-21.3585,55.7679,74.79,84,light rain,12.26,RE,1667408296
22,kieta,-6.2167,155.6333,79.2,83,light rain,0.89,PG,1667408297
23,hermanus,-34.4187,19.2345,72.81,59,clear sky,14.23,ZA,1667408297
24,slupca,52.2873,17.8719,53.2,74,few clouds,9.31,PL,1667408297
25,vao,-22.6667,167.4833,74.64,85,broken clouds,8.7,NC,1667408299
26,port hueneme,34.1478,-119.1951,62.38,85,overcast clouds,12.95,US,1667408233
27,atuona,-9.8,-139.0333,76.51,74,scattered clouds,14.94,PF,1667408299
28,yellowknife,62.456,-114.3525,5.56,72,light snow,8.05,CA,1667408251
29,port alfred,-33.5906,26.891,69.19,81,scattered clouds,30.56,ZA,1667408056
30,mar del plata,-38.0023,-57.5575,80.62,50,clear sky,11.99,AR,1667408300
31,quang ngai,15.1167,108.8,68.59,83,overcast clouds,4.92,VN,1667408300
32,saskylakh,71.9167,114.0833,1.44,93,overcast clouds,11.79,RU,1667408301
33,mortka,59.3322,66.0214,35.22,90,overcast clouds,10.11,RU,1667408301
34,albany,42.6001,-73.9662,65.57,62,broken clouds,1.01,US,1667408301
35,sainte-anne-des-monts,49.124,-66.4924,42.67,52,broken clouds,21.68,CA,1667408287
36,santiago del estero,-27.7951,-64.2615,81.03,9,clear sky,10.18,AR,1667408302
37,tuatapere,-46.1333,167.6833,47.21,95,moderate rain,5.39,NZ,1667408302
38,yuanping,38.7153,112.7575,47.23,63,scattered clouds,5.32,CN,1667408303
39,bluff,-46.6,168.3333,48.81,92,light rain,13.18,NZ,1667408303
40,batagay-alyta,67.8006,130.4114,4.59,81,overcast clouds,3.49,RU,1667408303
41,yarim,14.298,44.3779,56.25,67,few clouds,2.46,YE,1667408304
42,airai,-8.9266,125.4092,62.46,92,broken clouds,0.94,TL,1667408304
43,mataura,-46.1927,168.8643,47.25,99,moderate rain,3.98,NZ,1667408304
44,bambanglipuro,-7.95,110.2833,77.45,85,light rain,3.11,ID,1667408305
45,byron bay,-28.65,153.6167,55.94,59,scattered clouds,12.15,AU,1667408305
46,hambantota,6.1241,81.1185,79.45,81,overcast clouds,10.25,LK,1667408306
47,kapaa,22.0752,-159.319,73.38,91,broken clouds,7.72,US,1667408306
48,punta arenas,-53.15,-70.9167,59.11,58,broken clouds,25.32,CL,1667408236
49,dikson,73.5069,80.5464,26.31,96,light snow,23.73,RU,1667408306
50,hoi an,15.8794,108.335,67.96,78,overcast clouds,6.91,VN,1667408307
51,rapid valley,44.0625,-103.1463,71.11,19,broken clouds,17.0,US,1667408307
52,fortuna,40.5982,-124.1573,47.66,96,broken clouds,5.75,US,1667408307
53,tasiilaq,65.6145,-37.6368,21.27,79,few clouds,5.06,GL,1667408308
54,pasighat,28.0667,95.3333,64.54,69,broken clouds,3.78,IN,1667408308
55,turukhansk,65.8167,87.9833,-5.62,100,overcast clouds,4.79,RU,1667408308
56,kaitangata,-46.2817,169.8464,48.4,97,overcast clouds,6.58,NZ,1667408308
57,nueve de julio,-35.4444,-60.8831,79.97,17,clear sky,1.01,AR,1667408309
58,aksarka,66.5606,67.7975,13.35,92,overcast clouds,3.51,RU,1667408309
59,wanning,18.8003,110.3967,70.9,68,overcast clouds,3.69,CN,1667408309
60,ulaanbaatar,47.9077,106.8832,3.33,78,clear sky,2.24,MN,1667408258
61,teya,60.3778,92.6267,30.45,91,light snow,7.99,RU,1667408310
62,orocue,4.7912,-71.3354,74.01,97,overcast clouds,4.34,CO,1667408310
63,makakilo city,21.3469,-158.0858,75.69,86,overcast clouds,3.44,US,1667408311
64,corner brook,48.9667,-57.9484,46.56,89,light rain,14.14,CA,1667408312
65,barinas,8.6226,-70.2075,82.44,89,overcast clouds,3.44,VE,1667408312
66,carnarvon,-24.8667,113.6333,69.91,68,clear sky,14.03,AU,1667408313
67,luwuk,-0.9516,122.7875,78.04,86,overcast clouds,2.42,ID,1667408313
68,east london,-33.0153,27.9116,67.14,88,few clouds,14.97,ZA,1667408175
69,cidreira,-30.1811,-50.2056,64.04,51,clear sky,10.38,BR,1667408314
70,sinnamary,5.3833,-52.95,84.65,66,broken clouds,8.23,GF,1667408314
71,french harbor,16.35,-86.4333,82.4,88,broken clouds,18.41,HN,1667408315
72,lebu,-37.6167,-73.65,62.01,73,clear sky,8.32,CL,1667408315
73,sur,22.5667,59.5289,80.29,57,clear sky,10.83,OM,1667408315
74,chalon-sur-saone,46.7833,4.85,54.21,80,overcast clouds,2.75,FR,1667408316
75,paita,-5.0892,-81.1144,70.43,66,broken clouds,12.62,PE,1667408316
76,cherskiy,68.75,161.3,-21.78,98,broken clouds,6.67,RU,1667408316
77,durant,33.994,-96.3708,65.73,88,overcast clouds,11.5,US,1667408317
78,kodiak,57.79,-152.4072,37.18,72,scattered clouds,31.92,US,1667408317
79,torbay,47.6666,-52.7314,53.58,91,light rain,25.32,CA,1667408317
80,dudinka,69.4058,86.1778,-5.49,100,overcast clouds,4.68,RU,1667408043
81,hilo,19.7297,-155.09,71.11,84,overcast clouds,5.99,US,1667408318
82,buseresere,-3.0236,31.8747,69.62,73,broken clouds,5.44,TZ,1667408318
83,anshun,26.25,105.9333,52.3,63,clear sky,5.86,CN,1667408320
84,sao joao da barra,-21.6403,-41.0511,69.89,87,overcast clouds,15.55,BR,1667408320
85,ovsyanka,55.9575,92.5519,22.17,85,broken clouds,3.31,RU,1667408320
86,tabligbo,6.5833,1.5,85.33,63,clear sky,5.01,TG,1667408320
87,coquimbo,-29.9533,-71.3436,62.33,72,broken clouds,13.8,CL,1667408321
88,vaini,-21.2,-175.2,75.36,100,light rain,9.22,TO,1667408321
89,mount gambier,-37.8333,140.7667,46.31,83,overcast clouds,5.91,AU,1667408321
90,pevek,69.7008,170.3133,-9.08,99,overcast clouds,5.23,RU,1667408322
91,nikolskoye,59.7035,30.7861,42.69,95,overcast clouds,2.75,RU,1667408322
92,barrow,71.2906,-156.7887,15.82,86,light snow,0.0,US,1667408323
93,castro,-24.7911,-50.0119,52.36,80,overcast clouds,9.69,BR,1667408324
94,hasaki,35.7333,140.8333,56.21,72,clear sky,2.62,JP,1667408324
95,lavrentiya,65.5833,-171.0,21.06,78,overcast clouds,16.78,RU,1667408324
96,northam,51.0333,-4.2167,56.39,94,moderate rain,28.48,GB,1667408229
97,maryville,35.7565,-83.9705,69.67,70,overcast clouds,2.59,US,1667408304
98,presidencia roque saenz pena,-26.7852,-60.4388,77.9,15,clear sky,7.65,AR,1667408326
99,port elizabeth,-33.918,25.5701,66.49,93,clear sky,26.46,ZA,1667408326
100,ocos,14.5094,-92.1933,81.99,75,broken clouds,3.02,GT,1667408326
101,show low,34.2542,-110.0298,53.89,46,clear sky,26.46,US,1667408327
102,namatanai,-3.6667,152.4333,80.26,81,broken clouds,3.02,PG,1667408327
103,cape town,-33.9258,18.4232,75.11,70,clear sky,12.66,ZA,1667408205
104,khatanga,71.9667,102.5,4.53,93,overcast clouds,13.0,RU,1667408327
105,tiksi,71.6872,128.8694,13.39,82,overcast clouds,19.69,RU,1667408328
106,fexhe-le-haut-clocher,50.6654,5.3998,54.36,58,clear sky,10.36,BE,1667408328
107,clyde river,70.4692,-68.5914,25.03,93,overcast clouds,17.27,CA,1667408328
108,yabelo,4.8833,38.0833,63.63,66,scattered clouds,18.01,ET,1667408329
109,yarmouth,41.7057,-70.2286,65.01,73,clear sky,14.0,US,1667408330
110,boa vista,2.8197,-60.6733,91.38,49,light rain,4.61,BR,1667408113
111,miramar,25.9873,-80.2323,90.0,72,broken clouds,12.66,US,1667408315
112,victoria,22.2855,114.1577,72.25,92,overcast clouds,28.99,HK,1667408205
113,chivilcoy,-34.8957,-60.0167,82.11,15,clear sky,3.09,AR,1667408207
114,nome,64.5011,-165.4064,17.17,65,overcast clouds,8.99,US,1667408331
115,kahului,20.8947,-156.47,76.84,92,overcast clouds,7.0,US,1667408331
116,radishchevo,52.85,47.8833,32.09,94,light snow,16.08,RU,1667408331
117,san patricio,28.017,-97.5169,73.89,76,broken clouds,12.33,US,1667408331
118,deer lake,49.1667,-57.4316,46.26,100,light rain,13.8,CA,1667408332
119,dingle,10.9995,122.6711,75.38,91,overcast clouds,2.93,PH,1667408332
120,college,64.8569,-147.8028,16.07,86,overcast clouds,4.07,US,1667408286
121,poros,37.4994,23.4536,65.86,53,clear sky,5.19,GR,1667408333
122,laplace,30.0666,-90.4801,77.99,63,clear sky,4.61,US,1667408066
123,usogorsk,63.4106,48.6872,31.44,85,overcast clouds,6.51,RU,1667408334
124,znamenskoye,57.1281,73.8282,34.48,89,overcast clouds,10.36,RU,1667408334
125,prado,-17.3411,-39.2208,71.47,94,overcast clouds,11.34,BR,1667408334
126,warmbad,-28.45,18.7333,76.75,19,clear sky,24.63,NA,1667408335
127,talnakh,69.4865,88.3972,3.16,99,overcast clouds,1.77,RU,1667408335
128,tuktoyaktuk,69.4541,-133.0374,1.4,78,broken clouds,18.41,CA,1667408336
129,klaksvik,62.2266,-6.589,47.32,83,light rain,23.29,FO,1667408336
130,vostok,46.4856,135.8833,18.97,54,scattered clouds,12.17,RU,1667408336
131,constitucion,-35.3333,-72.4167,65.55,57,clear sky,7.52,CL,1667408337
132,saint-augustin,51.226,-58.6502,42.15,58,overcast clouds,25.37,CA,1667408337
133,geraldton,-28.7667,114.6,59.41,88,clear sky,4.61,AU,1667408338
134,vanimo,-2.6741,141.3028,79.59,85,light rain,2.89,PG,1667408338
135,amuntai,-2.4177,115.2494,74.97,96,moderate rain,0.45,ID,1667408338
136,mococa,-21.4678,-47.0047,61.59,82,overcast clouds,8.84,BR,1667408339
137,sudzha,51.1976,35.2726,44.76,70,broken clouds,4.56,RU,1667408339
138,gat,31.61,34.7642,69.82,100,clear sky,5.3,IL,1667408340
139,te anau,-45.4167,167.7167,40.6,98,light rain,0.83,NZ,1667408340
140,daliang,22.8504,113.247,67.05,63,overcast clouds,11.95,CN,1667408340
141,los llanos de aridane,28.6585,-17.9182,73.13,86,broken clouds,6.91,ES,1667408317
142,san andres,12.5847,-81.7006,86.02,70,few clouds,8.05,CO,1667408341
143,assiniboia,49.6334,-105.9845,33.62,93,broken clouds,9.22,CA,1667408205
144,norrtalje,59.758,18.705,51.03,92,overcast clouds,6.55,SE,1667408341
145,sampit,-2.5333,112.95,74.48,95,overcast clouds,0.76,ID,1667408342
146,yulara,-25.2406,130.9889,60.82,27,clear sky,14.63,AU,1667408343
147,itarema,-2.9248,-39.9167,88.29,55,broken clouds,15.64,BR,1667408344
148,aguimes,27.9054,-15.4461,76.66,73,few clouds,17.27,ES,1667408344
149,juegang,32.3174,121.1855,56.91,74,clear sky,4.61,CN,1667408344
150,xam nua,20.4197,104.0439,55.33,73,clear sky,1.97,LA,1667408345
151,bredasdorp,-34.5322,20.0403,63.57,81,broken clouds,8.63,ZA,1667408345
152,adelaide,-34.9333,138.6,53.22,88,broken clouds,4.61,AU,1667408052
153,vincennes,48.85,2.4333,57.88,71,clear sky,8.05,FR,1667408345
154,leningradskiy,69.3833,178.4167,4.75,93,overcast clouds,13.67,RU,1667408346
155,faanui,-16.4833,-151.75,77.18,83,light rain,17.18,PF,1667408346
156,betsiamites,48.9413,-68.646,45.0,43,clear sky,13.94,CA,1667408346
157,coruripe,-10.1256,-36.1756,84.0,65,broken clouds,15.46,BR,1667408107
158,port macquarie,-31.4333,152.9167,48.29,66,clear sky,6.76,AU,1667408347
159,sydney,-33.8679,151.2073,52.9,64,clear sky,10.36,AU,1667408220
160,charagua,-19.8,-63.2167,74.77,13,clear sky,11.12,BO,1667408347
161,akureyri,65.6835,-18.0878,35.53,93,overcast clouds,16.11,IS,1667408348
162,macultepec,18.1667,-92.8333,77.09,91,haze,10.36,MX,1667408348
163,salalah,17.0151,54.0924,78.13,74,clear sky,2.91,OM,1667408348
164,kavaratti,10.5669,72.642,82.96,67,few clouds,11.81,IN,1667408349
165,broome,42.2506,-75.833,63.32,70,clear sky,4.0,US,1667408349
166,qaanaaq,77.484,-69.3632,6.73,78,overcast clouds,8.61,GL,1667408349
167,honiara,-9.4333,159.95,77.32,86,scattered clouds,2.77,SB,1667408349
168,schela,45.5,27.8167,60.49,49,broken clouds,4.65,RO,1667408350
169,medea,36.2642,2.7539,65.5,51,few clouds,4.74,DZ,1667408153
170,tarime,-1.35,34.3667,64.26,86,light rain,3.62,TZ,1667408350
171,esperance,-33.8667,121.9,52.92,83,scattered clouds,8.28,AU,1667408351
172,montrose,38.4166,-108.2673,49.41,32,clear sky,25.5,US,1667408352
173,capim grosso,-11.3811,-40.0128,88.25,40,overcast clouds,3.74,BR,1667408352
174,husavik,66.0449,-17.3389,37.42,99,overcast clouds,18.66,IS,1667408352
175,tchaourou,8.8865,2.5975,84.42,39,clear sky,3.65,BJ,1667408353
176,port blair,11.6667,92.75,78.84,78,mist,0.0,IN,1667408353
