City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,birao,10.2849,22.7882,91.27,19,94,4.81,CF,1667572435
1,mpongwe,-13.5091,28.155,83.98,30,93,1.36,ZM,1667572435
2,ushuaia,-54.8,-68.3,47.86,76,75,20.71,AR,1667572229
3,new norfolk,-42.7826,147.0587,53.71,69,82,0.76,AU,1667571957
4,shimoda,34.6667,138.95,56.1,86,77,20.2,JP,1667572229
5,hobart,-42.8794,147.3294,54.05,83,100,0.0,AU,1667572243
6,rio bueno,-40.3167,-72.9667,53.74,46,99,1.48,CL,1667572436
7,esperance,-33.8667,121.9,60.24,75,100,14.72,AU,1667572372
8,promyshlennovskiy,55.4833,86.2,27.37,83,22,3.33,RU,1667572437
9,launceston,-41.45,147.1667,51.44,81,100,4.61,AU,1667572437
10,lazaro cardenas,17.9583,-102.2,79.43,79,91,3.33,MX,1667572438
11,albany,42.6001,-73.9662,58.59,73,22,4.36,US,1667572236
12,llanes,43.4198,-4.7549,65.89,69,86,15.75,ES,1667572438
13,norman wells,65.282,-126.8329,6.84,78,100,11.5,CA,1667572375
14,saskylakh,71.9167,114.0833,-4.31,97,100,8.97,RU,1667572252
15,uruzgan,32.8333,66.0,60.69,33,100,6.98,AF,1667572439
16,east london,-33.0153,27.9116,70.74,83,40,6.91,ZA,1667572225
17,atuona,-9.8,-139.0333,76.78,80,34,15.35,PF,1667572231
18,codajas,-3.8367,-62.0569,87.21,49,52,5.19,BR,1667572439
19,ilave,-16.0833,-69.6667,60.85,26,5,6.62,PE,1667572440
20,hithadhoo,-0.6,73.0833,81.77,75,89,10.85,MV,1667572250
21,mataura,-46.1927,168.8643,46.53,65,95,10.36,NZ,1667572227
22,victoria,22.2855,114.1577,73.45,84,98,13.0,HK,1667572195
23,rikitea,-23.1203,-134.9692,70.18,68,100,13.69,PF,1667572239
24,cherskiy,68.75,161.3,-12.98,88,48,4.43,RU,1667572251
25,cape town,-33.9258,18.4232,73.81,74,20,13.8,ZA,1667572228
26,buala,-8.145,159.5921,79.11,82,90,1.05,SB,1667572441
27,kavieng,-2.5744,150.7967,82.26,76,85,5.82,PG,1667572441
28,punta arenas,-53.15,-70.9167,55.51,71,75,14.97,CL,1667572239
29,vaini,-21.2,-175.2,75.36,83,20,5.75,TO,1667572329
30,colares,38.7992,-9.4469,71.46,55,0,14.0,PT,1667572441
31,usinsk,65.9939,57.5281,7.57,76,0,2.35,RU,1667572442
32,geraldton,-28.7667,114.6,63.01,72,0,13.8,AU,1667572442
33,cristobal obregon,16.35,-93.5333,74.08,85,74,2.06,MX,1667572442
34,qaanaaq,77.484,-69.3632,20.46,64,100,12.97,GL,1667572237
35,bambous virieux,-20.3428,57.7575,77.25,73,40,6.91,MU,1667572278
36,abu kamal,34.4506,40.9171,70.61,30,0,2.8,SY,1667572443
37,mar del plata,-38.0023,-57.5575,69.84,76,0,20.0,AR,1667572101
38,ponta do sol,32.6667,-17.1,77.0,79,8,1.01,PT,1667571979
39,cordoba,-31.4135,-64.1811,78.76,24,0,19.57,AR,1667572443
40,quang ngai,15.1167,108.8,72.09,87,39,3.62,VN,1667572347
41,pampa,35.5362,-100.9599,37.56,81,75,20.71,US,1667572444
42,zyryanskoye,56.8306,86.6258,24.76,88,12,2.13,RU,1667572445
43,sehithwa,-20.4667,22.7167,84.16,40,50,10.33,BW,1667572368
44,busselton,-33.65,115.3333,52.2,84,0,8.28,AU,1667572230
45,egvekinot,66.3167,-179.1667,0.48,84,3,7.18,RU,1667572337
46,kalengwa,-13.4659,25.0027,82.17,38,70,4.59,ZM,1667572446
47,urumqi,43.801,87.6005,40.15,70,0,4.47,CN,1667572234
48,hohhot,40.8106,111.6522,26.89,63,0,4.47,CN,1667572447
49,miri,4.4148,114.0089,77.14,94,40,3.44,MY,1667572448
50,natchez,31.5604,-91.4032,72.84,88,75,17.27,US,1667572448
51,saint-philippe,-21.3585,55.7679,76.59,81,98,5.32,RE,1667572449
52,zhigansk,66.7697,123.3711,2.7,95,100,18.34,RU,1667572336
53,noumea,-22.2763,166.4572,73.38,82,96,12.26,NC,1667572449
54,hilo,19.7297,-155.09,74.62,91,100,8.05,US,1667572218
55,pangnirtung,66.1451,-65.7125,12.2,67,75,5.75,CA,1667572298
56,dikson,73.5069,80.5464,19.58,95,95,3.8,RU,1667572253
57,klaksvik,62.2266,-6.589,43.72,88,100,28.83,FO,1667572284
58,mahebourg,-20.4081,57.7,77.29,73,40,6.91,MU,1667572250
59,puerto ayora,-0.7393,-90.3518,71.56,73,95,11.3,EC,1667572239
60,farafangana,-22.8167,47.8333,74.79,84,75,10.36,MG,1667572450
61,kidal,18.4411,1.4078,89.33,13,69,13.06,ML,1667572451
62,korla,41.7597,86.1469,48.31,35,86,4.34,CN,1667572451
63,thompson,55.7435,-97.8558,1.56,92,75,0.0,CA,1667572006
64,saint-pierre,-21.3393,55.4781,76.68,73,100,5.75,RE,1667572228
65,paamiut,61.994,-49.6678,33.33,98,100,22.41,GL,1667572452
66,kapaa,22.0752,-159.319,79.12,87,20,9.22,US,1667572254
67,saint-georges,12.0564,-61.7485,76.03,89,100,10.74,GD,1667572402
68,bahraich,27.5833,81.6,72.79,61,0,3.38,IN,1667572452
69,anadyr,64.75,177.4833,-7.1,84,0,11.18,RU,1667572382
70,edson,53.5835,-116.4356,26.74,74,100,5.75,CA,1667572453
71,murray bridge,-35.1167,139.2667,52.34,85,8,1.28,AU,1667572453
72,hokitika,-42.7167,170.9667,50.4,85,50,9.53,NZ,1667572454
73,jamestown,42.097,-79.2353,62.19,66,0,8.05,US,1667572454
74,zhangye,38.9342,100.4517,41.13,35,96,4.27,CN,1667572454
75,gat,31.61,34.7642,74.39,24,29,11.92,IL,1667572410
76,provideniya,64.3833,-173.3,10.49,81,4,8.5,RU,1667572241
77,nevelsk,46.6733,141.8633,36.84,54,42,16.67,RU,1667572455
78,airai,-8.9266,125.4092,62.33,85,82,1.5,TL,1667572249
79,barrow,71.2906,-156.7887,12.22,92,100,5.75,US,1667572251
80,tabou,4.423,-7.3528,82.02,76,100,6.93,CI,1667572267
81,ilulissat,69.2167,-51.1,28.42,80,75,3.44,GL,1667572401
82,igarka,67.4667,86.5833,6.84,88,100,9.75,RU,1667572456
83,avarua,-21.2078,-159.775,73.45,78,20,13.8,CK,1667572299
84,hermanus,-34.4187,19.2345,71.8,69,8,18.32,ZA,1667572249
85,banda aceh,5.5577,95.3222,77.58,87,99,5.79,ID,1667572456
86,codrington,-38.2667,141.9667,50.94,80,100,7.23,AU,1667572405
87,sungaipenuh,-2.0833,101.3833,66.38,96,100,0.92,ID,1667572456
88,castro,-24.7911,-50.0119,62.92,52,14,5.68,BR,1667572255
89,humboldt,40.6665,-123.9178,41.54,72,100,3.74,US,1667572457
90,leningradskiy,69.3833,178.4167,4.33,96,100,7.16,RU,1667572385
91,bengkulu,-3.8004,102.2655,76.82,87,100,3.11,ID,1667572298
92,port lincoln,-34.7333,135.8667,57.72,81,96,10.45,AU,1667572227
93,bluff,-46.6,168.3333,48.99,68,100,27.07,NZ,1667572278
94,xai-xai,-25.0519,33.6442,82.08,63,50,12.15,MZ,1667572458
95,jibuti,11.5,42.5,78.17,63,42,11.81,DJ,1667572458
96,ocampo,21.65,-101.5,64.62,36,5,5.08,MX,1667572458
97,lima,-12.0432,-77.0282,61.05,77,100,10.36,PE,1667572238
98,khatanga,71.9667,102.5,-5.01,100,95,3.8,RU,1667572315
99,abrau-dyurso,44.69,37.59,49.46,66,62,9.55,RU,1667572459
100,lata,40.1629,-8.3327,65.07,43,100,4.05,PT,1667572335
101,ormara,25.2088,64.6357,80.8,65,99,13.65,PK,1667572460
102,jalu,29.0331,21.5482,75.52,33,48,5.06,LY,1667572461
103,sukhumi,43.0033,41.0153,54.52,85,71,5.14,GE,1667572461
104,sarkand,45.41,79.9186,48.99,46,99,3.8,KZ,1667572370
105,sambava,-14.2667,50.1667,74.37,78,83,4.92,MG,1667572413
106,partenit,44.578,34.3446,54.75,62,52,1.07,UA,1667572461
107,baruun-urt,46.6806,113.2792,23.68,57,2,5.95,MN,1667572462
108,chokurdakh,70.6333,147.9167,-19.68,94,70,1.92,RU,1667572230
109,vestmannaeyjar,63.4427,-20.2734,45.59,87,20,23.02,IS,1667572425
110,muros,42.7762,-9.0603,67.15,55,100,6.73,ES,1667572463
111,burnie,-41.0667,145.9167,47.95,78,3,4.79,AU,1667572463
112,imamoglu,37.2651,35.6572,74.91,55,0,6.26,TR,1667572463
113,kodiak,57.79,-152.4072,27.91,43,0,32.21,US,1667572280
114,itoman,26.1247,127.6694,73.42,64,100,14.97,JP,1667572464
115,dudinka,69.4058,86.1778,11.62,87,100,17.34,RU,1667572464
116,port elizabeth,-33.918,25.5701,79.11,78,0,17.27,ZA,1667572251
117,sulangan,11.1373,123.7228,83.61,74,14,12.97,PH,1667572465
118,robertsport,6.7533,-11.3686,82.89,72,15,9.73,LR,1667572465
119,torbay,47.6666,-52.7314,52.29,80,75,8.05,CA,1667572224
120,sicamous,50.8331,-118.9856,35.19,97,100,2.01,CA,1667572466
121,omsukchan,62.5333,155.8,-1.19,95,97,5.08,RU,1667572376
122,nikolskoye,59.7035,30.7861,30.09,80,16,3.36,RU,1667572236
123,liverpool,53.4106,-2.9779,54.64,73,40,13.8,GB,1667572466
124,mount isa,-20.7333,139.5,71.37,21,0,9.22,AU,1667572469
125,carnarvon,-24.8667,113.6333,68.07,77,0,24.16,AU,1667572230
126,cabangahan,9.0781,122.9469,80.8,80,97,4.25,PH,1667572470
127,hofn,64.2539,-15.2082,46.42,57,0,4.61,IS,1667572316
128,pisco,-13.7,-76.2167,62.65,82,100,3.44,PE,1667572292
129,kiama,-34.6833,150.8667,61.0,83,56,1.01,AU,1667572232
